booking_id,room,start_date,end_date,request_id,prefix_room,bookings_days,client_name,room_type,request_type,adults,childrens,total_occupancy,price_day,capacity,total_price,overcrowded
1,L0,2016-02-07,2016-02-10,1,L,3,Dr. Iza Gerhold,conference_room_large,conference,27,0,27,150,50,450,0
2,L0,2016-03-13,2016-03-21,2,L,8,Ila Sawayn,conference_room_large,conference,22,0,22,150,50,1200,0
3,D2,2016-02-19,2016-02-20,3,D,1,Iverson McCullough,double_room,business,2,1,3,100,3,100,0
4,X0,2016-01-22,2016-01-26,4,X,4,Katharyn Goyette DVM,deluxe_room,business,1,0,1,150,3,600,0
5,L0,2016-02-22,2016-02-26,5,L,4,Deloris Vandervort,conference_room_large,party,24,26,50,150,50,600,0
6,N0,2016-03-14,2016-03-25,6,N,11,Dr. Sydney Hackett PhD,normal_room,holiday,3,0,3,80,1,880,1
7,N1,2016-03-14,2016-03-25,6,N,11,Dr. Sydney Hackett PhD,normal_room,holiday,3,0,3,80,1,880,1
8,N2,2016-03-14,2016-03-25,6,N,11,Dr. Sydney Hackett PhD,normal_room,holiday,3,0,3,80,1,880,1
9,N0,2016-01-22,2016-01-24,7,N,2,Mattye Kovacek MD,normal_room,business,3,0,3,80,1,160,1
10,N1,2016-01-22,2016-01-24,7,N,2,Mattye Kovacek MD,normal_room,business,3,0,3,80,1,160,1
11,N2,2016-01-22,2016-01-24,7,N,2,Mattye Kovacek MD,normal_room,business,3,0,3,80,1,160,1
12,L6,2016-03-02,2016-03-03,8,L,1,Lawson Veum DVM,conference_room_large,party,12,13,25,150,50,150,0
13,D1,2016-02-01,2016-02-03,9,D,2,Dr. Derrell Schneider V,double_room,business,1,1,2,100,3,200,0
14,X23,2016-03-17,2016-03-20,10,X,3,Nathan Hyatt,deluxe_room,business,4,0,4,150,3,450,1
15,X24,2016-03-17,2016-03-20,10,X,3,Nathan Hyatt,deluxe_room,business,4,0,4,150,3,450,1
16,D0,2016-03-16,2016-03-19,11,D,3,Miss Abbigail Kulas,double_room,holiday,1,2,3,100,3,300,0
17,D0,2016-02-02,2016-02-08,12,D,6,Mrs. Etna Strosin,double_room,holiday,3,1,4,100,3,600,1
18,D4,2016-02-02,2016-02-08,12,D,6,Mrs. Etna Strosin,double_room,holiday,3,1,4,100,3,600,1
19,L1,2016-02-07,2016-02-11,13,L,4,Kelby Feil,conference_room_large,party,24,24,48,150,50,600,0
